											HEX			
NUMBER	0	1	2	3	4	5	6	7	HEX	8	9	10	11	12
	x	x	A	B	C	D	E	F		G	D1	D2	D3	D4
0	x	x	0	0	0	0	0	0	0x0	1	0x3	0x5	0x9	0x11
1	x	x	1	0	0	1	1	1	0xE4	1	0x3	0x5	0x9	0x11
2	x	x	0	0	1	0	0	1	0x90	0	0x2	0x4	0x8	0x10
3	x	x	0	0	0	0	1	1	0xC0	0	0x2	0x4	0x8	0x10
4	x	x	1	0	0	1	1	0	0x64	0	0x2	0x4	0x8	0x10
5	x	x	0	1	0	0	1	0	0x48	0	0x2	0x4	0x8	0x10
6	x	x	0	1	0	0	0	0	0x8	0	0x2	0x4	0x8	0x10
7	x	x	0	0	0	1	1	1	0xE0	1	0x3	0x5	0x9	0x11
8	x	x	0	0	0	0	0	0	0x0	0	0x2	0x4	0x8	0x10
9	x	x	0	0	0	0	1	0	0x40	0	0x2	0x4	0x8	0x10
